"General Settings","[DE] General Settings"
"Customer Account Privacy","[DE] Customer Account Privacy"
"Delete Requests","[DE] Delete Requests"
"Data Deletion & Anonymization","[DE] Data Deletion & Anonymization"
"Consent Logs","[DE] Consent Logs"
"Save Settings","[DE] Save Settings"
"Privacy Policy Settings","[DE] Privacy Policy Settings"
"Display Privacy Policy Popup","[DE] Display Privacy Policy Popup"
"Account Deletion Requests","[DE] Account Deletion Requests"
"Pending","[DE] Pending"
"Approved","[DE] Approved"
"Rejected","[DE] Rejected"
"Total","[DE] Total"
"No deletion requests yet.","[DE] No deletion requests yet."
"Consent Logging","[DE] Consent Logging"
"No consent logs yet.","[DE] No consent logs yet."
"Email Notifications","[DE] Email Notifications"
"Coming Soon","[DE] Coming Soon"
"Your Data Rights","[DE] Your Data Rights"
"Download My Data","[DE] Download My Data"
"Delete My Account","[DE] Delete My Account"
"Withdraw Consent","[DE] Withdraw Consent"
"Back to Privacy Settings","[DE] Back to Privacy Settings"
"Enter Your Password to Confirm","[DE] Enter Your Password to Confirm"
"Privacy Policy","[DE] Privacy Policy"
"I HAVE READ AND ACCEPT","[DE] I HAVE READ AND ACCEPT"
"Previous","[DE] Previous"
"Next","[DE] Next"
"Showing %1–%2 of %3 entries","[DE] Showing %1–%2 of %3 entries"
