"(optional)","(optional)"
"Account Deletion Requests","Account Deletion Requests"
"Action","Action"
"Action completed successfully.","Action completed successfully."
"Actions","Actions"
"Accepted","Accepted"
"Add a note visible in the request log...","Add a note visible in the request log..."
"All consent events recorded from privacy popup interactions","All consent events recorded from privacy popup interactions"
"Allow customers to anonymize their personal data","Allow customers to anonymize their personal data"
"Allow customers to delete their account","Allow customers to delete their account"
"Allow customers to download their personal data","Allow customers to download their personal data"
"Allow customers to withdraw their consent","Allow customers to withdraw their consent"
"Allowed Countries","Allowed Countries"
"An error occurred. Please try again.","An error occurred. Please try again."
"An unexpected error occurred.","An unexpected error occurred."
"Anonymize","Anonymize"
"Anonymize My Data","Anonymize My Data"
"Anonymize Personal Data","Anonymize Personal Data"
"Anonymize or delete personal data for orders currently in one or more selected statuses","Anonymize or delete personal data for orders currently in one or more selected statuses"
"Approve","Approve"
"Approve Deletion Request","Approve Deletion Request"
"Approved","Approved"
"Automatically clean old consent logs","Automatically clean old consent logs"
"Automatically delete personal data of customers who have not placed an order within a specified period","Automatically delete personal data of customers who have not placed an order within a specified period"
"Abandoned Customer Accounts","Abandoned Customer Accounts"
"Back to Privacy Settings","Back to Privacy Settings"
"Choose which policy links to display on the customer's Privacy Settings page","Choose which policy links to display on the customer's Privacy Settings page"
"Coming Soon","Coming Soon"
"Confirm","Confirm"
"Confirm Action","Confirm Action"
"Configure how visitor consent is recorded and maintained","Configure how visitor consent is recorded and maintained"
"Configure the Privacy Settings tab shown in the customer account area","Configure the Privacy Settings tab shown in the customer account area"
"Consent Logging","Consent Logging"
"Consent Logs","Consent Logs"
"Consent withdrawal is not enabled.","Consent withdrawal is not enabled."
"Contact DPO","Contact DPO"
"Contact our Data Protection Officer for any privacy-related queries or requests.","Contact our Data Protection Officer for any privacy-related queries or requests."
"Control how the privacy policy popup is displayed to visitors","Control how the privacy policy popup is displayed to visitors"
"Cookie Policy","Cookie Policy"
"Cookie Policy URL","Cookie Policy URL"
"Could not delete customer data: %1","Could not delete customer data: %1"
"Could not process your request. Please try again.","Could not process your request. Please try again."
"Covers quotes, guest order records, and other transient data","Covers quotes, guest order records, and other transient data"
"Country","Country"
"Country Restriction","Country Restriction"
"Customer","Customer"
"Customer Account Privacy","Customer Account Privacy"
"Customer Account Privacy settings saved successfully.","Customer Account Privacy settings saved successfully."
"Customer Data Controls","Customer Data Controls"
"Customer ID","Customer ID"
"DPO Email","DPO Email"
"DPO Name","DPO Name"
"DPO Phone","DPO Phone"
"Data Deletion & Anonymization","Data Deletion & Anonymization"
"Data Protection Officer","Data Protection Officer"
"Data deletion settings saved successfully.","Data deletion settings saved successfully."
"Date","Date"
"Days","Days"
"Delete","Delete"
"Delete Account","Delete Account"
"Delete My Account","Delete My Account"
"Delete Requests","Delete Requests"
"Delete personal data in documents older than the specified age","Delete personal data in documents older than the specified age"
"Delete personal data of customers with no orders in the last specified period","Delete personal data of customers with no orders in the last specified period"
"Delete personal data from quotes, guest order records, and similar transient documents after a specified period","Delete personal data from quotes, guest order records, and similar transient documents after a specified period"
"Deletion request not found.","Deletion request not found."
"Display DPO Info","Display DPO Info"
"Display Privacy Policy Popup","Display Privacy Policy Popup"
"Document Age","Document Age"
"Documents created before this threshold will have personal data removed","Documents created before this threshold will have personal data removed"
"Download My Data","Download My Data"
"Email","Email"
"Email Notification settings will be available in the next release.","Email Notification settings will be available in the next release."
"Email Notifications","Email Notifications"
"Enable Abandoned Customer Deletion","Enable Abandoned Customer Deletion"
"Enable Order Status Processing","Enable Order Status Processing"
"Enable Recent Documents Deletion","Enable Recent Documents Deletion"
"Enable country restriction for privacy popup","Enable country restriction for privacy popup"
"Enable privacy policy popup","Enable privacy policy popup"
"Enable self-service data management options for your customers","Enable self-service data management options for your customers"
"Enter Your Password to Confirm","Enter Your Password to Confirm"
"Export a copy of all your personal information including account details, addresses, orders, and cart.","Export a copy of all your personal information including account details, addresses, orders, and cart."
"General Settings","General Settings"
"General settings saved successfully.","General settings saved successfully."
"Go back","Go back"
"Guest","Guest"
"Guest Entries","Guest Entries"
